country,gdp,Population
China,15878105,1362.51426
United States,16183547,317.135919
India,6585998,1279.498874
Japan,4504977.5,126.984964
Germany,3597396.5,80.565861
Russian Federation,3477969.5,143.367341
Brazil,3060899.25,204.25938
France,2515464,65.807241
United Kingdom,2437409,63.955654
Indonesia,2382738.5,251.268276
Italy,2100516,59.771094
Mexico,1906050.25,123.740109
Republic of Korea,1663808.125,49.846756
Spain,1481810.125,46.455163
Canada,1493623.5,35.230612
Turkey,1456237.375,76.223639
Saudi Arabia,1506471.25,30.201051
Iran,1232941.5,77.152445
Taiwan,920766,23.34467
Australia,1034652.563,23.270465
Nigeria,941765.75,172.816517
Poland,914200.5,38.618698
Thailand,943267.8125,67.451422
Egypt,944308.625,87.613909
Argentina,868237.125,42.538304
Pakistan,834894.375,181.192646
Netherlands,819967.4375,16.809157
Malaysia,632359.5625,29.465372
Philippines,627924.5,97.571676
South Africa,640491.75,53.416609
Colombia,592645.25,47.342363
United Arab Emirates,666191.6875,9.039978
Algeria,509874.9063,38.186135
Viet Nam,473770.0625,91.378752
Belgium,444467.375,11.153122
Switzerland,503636.3125,8.118719
Ukraine,498015.875,45.165211
Bangladesh,444844.9375,157.157394
Venezuela,503923.6563,30.276045